term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1897	0.0488	0.0275	0.0061	0.0887	0.1064	0.7706	0.4013
tf	False	False	cosine	3,3,4,1	0.2050	0.0601	0.0312	0.0058	0.0988	0.1150	0.7592	0.4032
tf	False	False	cosine	1,1,1,4	0.1218	0.0369	0.0218	0.0061	0.0602	0.0783	0.7510	0.3603
tf	False	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	False	dice	1,1,1,1	0.1296	0.0401	0.0232	0.0064	0.0643	0.0793	0.7619	0.3649
tf	False	False	dice	3,3,4,1	0.1587	0.0580	0.0237	0.0061	0.0801	0.0939	0.7511	0.3673
tf	False	False	dice	1,1,1,4	0.1193	0.0356	0.0212	0.0060	0.0587	0.0752	0.7663	0.3578
tf	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7604	0.3659
tf	False	False	overlap	3,3,4,1	0.1874	0.0757	0.0271	0.0065	0.0968	0.1091	0.7718	0.3979
tf	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7472	0.3392
tf	False	True	cosine	1,1,1,1	0.2468	0.0877	0.0421	0.0079	0.1255	0.1367	0.8012	0.4674
tf	False	True	cosine	3,3,4,1	0.2385	0.0893	0.0461	0.0074	0.1247	0.1401	0.7840	0.4512
tf	False	True	cosine	1,1,1,4	0.1953	0.0659	0.0358	0.0082	0.0990	0.1121	0.7895	0.4392
tf	False	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	False	True	dice	1,1,1,1	0.1665	0.0719	0.0342	0.0093	0.0909	0.1042	0.7906	0.4281
tf	False	True	dice	3,3,4,1	0.1755	0.0724	0.0370	0.0081	0.0949	0.1061	0.7700	0.4095
